"funny","useful","user_cool","characters","user_average_stars","biz_review_count","user_useful","user_funny","biz_open","stars","date","biz_stars","words","user_review_count","cool"
18,7,1074,1033,3.71,37,1299,1105,1,4,"2008-06-16",2.5,194,350,4
2,3,7,683,4.3,67,7,2,1,4,"2007-09-24",4,117,10,2
2,1,86,198,4.13,278,173,45,1,1,"2009-10-01",4.5,36,95,1
2,0,12,1144,3.28,281,44,31,1,4,"2011-05-20",4,197,32,0
2,2,453,1527,4.07,25,516,400,0,5,"2009-02-18",4,286,112,2
0,1,25,485,3.67,138,71,32,1,5,"2011-08-14",3.5,100,75,1
0,3,64,735,3.95,441,107,35,1,3,"2011-04-17",4,137,56,1
1,2,35,1762,3.46,110,148,46,1,3,"2011-11-06",3.5,315,79,1
5,12,409,1345,3.55,304,629,253,1,1,"2010-02-08",4,244,159,4
0,1,8,512,3.7,10,43,6,1,4,"2011-08-20",4,92,30,0
0,0,12,1624,2.79,35,55,24,1,3,"2011-01-01",4,299,66,0
1,2,0,1349,0,122,0,0,1,4,"2010-08-01",3.5,260,0,2
0,2,214,313,4.04,50,387,77,1,4,"2010-08-05",4.5,50,130,1
0,1,2,937,4.33,93,3,0,1,5,"2011-10-20",4,165,6,1
0,1,19,1547,4.2,157,24,7,1,3,"2008-02-19",4,277,5,1
0,1,0,1824,3.5,115,11,6,1,3,"2012-05-26",4,327,14,0
0,0,0,347,1.5,10,0,0,1,2,"2012-09-28",4,66,2,0
0,0,80,1503,3.85,477,213,46,1,4,"2011-11-20",4.5,276,137,0
1,4,451,1012,4.06,39,521,260,1,3,"2008-10-04",3,188,163,2
0,0,21,447,4.19,10,57,12,1,5,"2011-09-12",4,86,47,0
2,1,303,474,3.6,4,536,262,1,1,"2012-08-10",2.5,87,278,1
0,0,20,786,2.79,54,96,22,1,3,"2011-05-19",4,148,52,0
0,0,2,242,3.55,36,13,1,1,3,"2012-03-10",4,45,29,0
1,1,2,137,3.29,108,43,3,1,3,"2011-04-12",3.5,25,34,0
1,1,0,473,0,60,0,0,1,3,"2009-04-07",4,81,0,1
0,0,19,182,3.99,3,60,15,1,2,"2012-12-04",4,34,95,0
0,1,34,937,3.94,116,114,39,1,5,"2011-06-06",4,168,68,0
3,4,42,1203,3.93,54,48,15,1,4,"2008-08-26",4,217,14,2
1,2,664,721,4.44,59,743,480,0,5,"2011-10-22",4,140,215,1
0,0,2,208,5,652,5,1,1,5,"2010-09-01",4,38,7,0
0,0,1,269,4,7,8,3,1,5,"2011-05-19",3.5,49,10,0
0,0,0,168,3.5,251,4,0,0,4,"2010-12-05",4,32,4,0
0,0,4,1233,3.8,42,11,4,1,5,"2012-07-29",3,226,10,0
2,3,42,660,3.93,130,48,15,1,5,"2008-09-12",4,134,14,3
1,0,190,865,3.83,81,283,101,1,4,"2008-11-02",3.5,166,107,1
0,1,6,309,4.62,135,20,5,0,4,"2009-10-14",4,49,9,1
0,0,119,275,3.42,17,209,97,1,4,"2010-07-25",4,50,110,0
0,3,502,218,3.65,63,1224,530,0,3,"2011-10-18",3,41,310,1
0,4,2,591,3.59,90,20,1,1,4,"2012-03-31",4,103,22,0
0,0,8,918,3.75,3,28,6,1,3,"2012-08-03",2.5,162,28,0
2,2,84,912,3.28,24,231,100,1,4,"2011-07-01",4.5,152,142,0
0,0,4,44,2.85,243,25,5,1,5,"2012-10-26",4,8,27,0
0,0,1,708,3.14,21,2,3,1,3,"2011-06-04",3.5,135,9,0
0,0,647,1119,3.76,18,977,470,1,3,"2011-12-01",2.5,216,753,0
2,4,1180,769,3.96,165,1434,1072,1,4,"2009-08-04",3.5,133,272,5
0,1,0,539,3,3,1,0,1,1,"2011-06-16",2,98,3,0
0,1,834,542,3.78,6,1447,578,1,4,"2010-08-05",4.5,101,479,1
0,0,52,876,3.44,5,204,79,1,3,"2010-01-15",3,158,215,0
0,0,0,180,5,28,3,1,1,5,"2011-12-07",4,33,6,0
1,1,246,1125,3.8,26,415,172,0,3,"2008-08-13",3.5,204,90,1
0,0,5,223,3.72,122,13,4,1,4,"2011-07-24",3.5,42,25,0
0,1,15,618,3.97,450,21,10,1,5,"2012-05-11",4.5,106,65,1
0,1,0,404,1,6,1,0,1,1,"2012-11-22",1.5,78,1,0
1,3,554,112,3.81,21,826,487,1,5,"2009-05-04",3.5,20,425,4
0,1,37,483,4.21,36,152,28,1,4,"2012-06-13",4,93,144,0
2,2,44,400,3.95,6,140,39,1,2,"2012-12-26",3.5,73,115,0
3,8,502,443,3.65,132,1224,530,1,3,"2010-11-07",3,78,310,2
11,13,3943,2921,3.74,22,4287,3969,0,4,"2010-02-24",4,519,417,13
0,1,3,283,3.76,3,27,2,1,5,"2012-09-08",4.5,56,33,0
0,2,7,474,3.67,94,23,4,1,4,"2010-07-26",4,85,12,1
0,1,1,270,4.33,100,13,0,1,5,"2012-07-03",3.5,49,9,0
0,1,26,1357,3.28,117,99,26,0,3,"2010-07-09",3.5,253,107,0
0,0,7,214,4.1,46,17,4,1,4,"2012-06-21",3.5,42,51,0
1,4,4,162,3.73,97,16,7,1,2,"2012-04-20",3.5,29,18,0
1,0,62,1075,3.72,15,172,35,1,5,"2012-08-27",4.5,196,142,0
0,0,7,423,3.95,283,29,5,1,2,"2012-03-31",4,81,21,0
1,1,1876,1043,3.44,4,2523,1569,0,1,"2008-11-05",3.5,188,574,0
0,1,18,354,3.34,41,41,8,1,1,"2011-03-12",3,69,300,0
0,1,189,968,3.71,33,442,181,1,3,"2009-05-25",4,172,247,1
0,0,55,889,3.95,264,142,24,1,3,"2010-04-05",3.5,165,132,0
0,0,0,253,5,71,3,1,1,5,"2012-10-08",3.5,49,3,0
0,0,3,532,4.29,136,5,4,1,5,"2012-08-31",4.5,95,7,0
0,0,44,133,3.84,80,115,56,1,4,"2010-02-02",4,29,136,0
0,1,69,272,3.34,78,181,62,1,4,"2009-05-24",4,46,148,1
0,0,3,1457,3.48,13,19,6,1,2,"2011-11-30",2.5,258,31,0
2,0,1930,1220,3.88,16,1824,1684,1,5,"2010-10-11",3.5,227,720,2
0,0,115,251,3.85,74,236,118,0,4,"2011-03-09",4,42,386,0
0,1,172,885,4.07,803,327,52,1,5,"2009-12-06",4,163,400,1
0,0,0,792,4,65,0,0,1,4,"2011-07-24",3.5,146,1,0
0,0,0,968,4.2,735,3,3,1,5,"2012-10-03",4.5,188,5,0
0,0,0,534,0,453,0,0,1,5,"2012-12-11",4,103,0,0
0,7,12,1225,3.15,35,73,15,1,2,"2012-01-12",4.5,217,53,0
0,2,0,523,4,74,2,0,1,4,"2012-03-10",3.5,94,1,0
0,0,2,369,3.85,16,9,1,1,5,"2012-09-19",4.5,64,33,0
1,5,412,935,3.97,32,620,459,1,5,"2012-02-05",4.5,162,151,3
0,0,41,1316,3.35,73,242,37,1,3,"2012-01-01",3.5,249,198,0
0,1,427,347,4,55,791,276,1,3,"2010-01-09",2.5,71,411,0
0,0,2,2043,4.67,3,3,2,1,5,"2012-12-09",5,369,6,0
1,2,87,1472,4.32,55,244,92,1,4,"2012-05-25",3.5,271,114,1
1,1,133,515,3.87,6,201,120,1,3,"2008-11-14",3,94,135,1
0,1,12,380,3.36,29,21,12,1,5,"2009-12-22",3.5,64,11,0
1,0,67,878,3.33,81,147,101,1,2,"2010-03-03",3.5,175,99,0
10,1,552,1125,3.81,6,565,1415,1,4,"2012-12-01",4,212,253,1
0,3,934,821,3.94,29,1280,892,1,4,"2011-03-14",4,155,632,0
0,1,0,503,4.6,194,6,0,1,5,"2011-03-31",4,89,5,0
0,0,4,235,3.94,79,58,2,1,3,"2012-03-04",3.5,44,47,0
1,2,49,1257,4.21,12,65,16,0,4,"2008-01-16",4,232,24,1
1,1,4,573,4.57,441,6,3,1,4,"2012-11-27",4,100,32,1
0,1,136,250,3.78,132,266,130,1,3,"2009-11-10",3.5,47,192,1
0,2,0,505,2.75,3,3,2,1,1,"2012-07-22",1,91,4,0
0,1,230,1901,3.8,6,457,169,1,4,"2012-03-15",3.5,342,359,1
0,0,0,408,1,5,6,1,1,1,"2012-09-20",1,81,2,0
0,0,0,363,4,7,0,0,0,4,"2011-02-27",3.5,67,1,0
0,1,29,1242,4.05,12,81,9,1,4,"2011-03-02",3.5,251,56,0
0,1,0,40,4.17,299,9,1,1,5,"2012-06-24",4,6,6,0
0,2,833,383,3.85,421,1331,395,1,3,"2007-11-12",4,74,371,2
0,3,103,2872,3.17,35,149,70,1,1,"2008-07-24",4,534,40,2
1,1,0,229,0,23,0,0,0,4,"2009-03-30",3.5,41,0,1
0,0,46,101,3.54,63,148,30,1,3,"2009-10-26",3.5,21,180,0
1,1,21,548,3.97,92,71,17,1,4,"2011-05-03",3,101,79,1
0,0,2,173,3.68,862,16,10,1,3,"2012-01-14",3,37,41,1
0,0,25,1213,2.87,12,110,73,0,2,"2010-08-18",3.5,217,47,0
0,0,2,255,3.37,47,34,4,1,3,"2012-01-18",3.5,42,63,0
0,1,28,372,3.82,160,84,19,1,4,"2010-09-15",3.5,73,74,1
0,0,5,78,4.6,122,25,3,1,5,"2009-11-18",3.5,13,25,0
0,2,21,1459,3.31,30,131,23,1,2,"2011-05-22",2.5,286,92,0
0,1,72,146,4.08,98,136,43,1,5,"2007-05-27",4.5,22,163,1
2,0,0,949,3,549,5,2,1,1,"2009-06-09",4,181,3,0
1,1,17,636,3.75,258,24,8,1,4,"2009-03-20",4,120,15,2
4,7,26,1163,3.58,269,31,16,1,4,"2008-10-29",4,230,12,5
0,0,0,95,0,78,0,0,1,5,"2012-09-17",4,19,0,0
0,6,0,2041,0,28,0,0,1,2,"2012-02-29",2.5,395,0,0
0,0,75,531,3.62,10,180,123,1,1,"2010-07-18",2.5,97,105,0
0,2,119,348,3.42,39,209,97,1,3,"2009-01-11",3,64,110,1
0,0,2,302,4,13,16,2,1,4,"2010-04-02",4,57,17,0
0,0,2,32,4,5,2,1,1,4,"2012-11-17",4.5,6,4,0
1,4,4,2225,3.22,594,26,1,1,2,"2012-03-30",4.5,428,9,0
0,0,221,852,3.8,23,341,247,1,3,"2007-02-22",3.5,154,287,0
0,2,25,922,4,5,32,2,1,4,"2007-01-09",3,174,12,2
0,0,148,107,3.48,72,255,165,1,4,"2012-09-23",4,20,98,0
0,0,4,1275,4.29,212,18,6,1,5,"2011-01-21",4.5,246,21,0
2,2,1,823,4.8,103,3,2,0,5,"2011-10-25",4.5,144,6,0
0,1,0,302,4.8,3,3,0,1,5,"2012-08-18",3.5,54,5,0
0,0,2,186,4.09,74,8,0,1,5,"2010-08-09",4,33,11,0
0,0,0,20,3.67,10,6,0,0,1,"2011-06-23",3,4,6,0
1,2,110,571,3.88,6,159,121,1,2,"2011-11-26",3,106,101,1
1,1,1059,1386,4.42,20,1365,819,1,3,"2011-11-05",3.5,253,394,1
0,0,45,1580,3.81,98,80,14,1,2,"2012-07-16",3.5,314,53,0
0,0,11,181,4,109,47,21,1,5,"2010-01-07",4,32,44,0
4,6,3901,2695,4.29,46,5065,2517,1,5,"2011-03-15",4.5,504,670,6
0,1,42,440,3.04,13,150,43,1,3,"2012-05-15",4,82,210,0
1,5,1074,2689,3.71,84,1299,1105,1,4,"2007-01-07",4,493,350,5
5,8,1727,994,3.53,9,2092,1548,1,3,"2012-11-25",3.5,180,215,3
0,0,6,400,4,52,8,3,1,4,"2012-12-10",4,69,16,0
2,5,1199,1357,3.34,17,1545,593,1,3,"2011-02-03",3.5,269,376,4
0,1,0,417,0,115,0,0,1,3,"2010-05-08",4,84,0,0
8,11,53,711,3,39,52,38,1,1,"2008-11-02",3,127,6,9
18,27,2562,1963,3.65,461,4283,1977,1,1,"2012-02-19",4,373,606,15
0,0,1,122,2,48,3,0,0,3,"2011-11-09",4,22,4,0
0,0,3,283,3.73,77,3,1,1,5,"2012-01-01",4,50,11,0
1,1,7,634,3.89,16,36,6,1,4,"2011-05-03",4.5,115,44,2
0,1,0,2011,0,3,0,0,1,1,"2009-06-06",2,398,0,0
0,2,13,467,3.57,269,68,6,1,4,"2011-06-20",4,95,56,0
0,0,1,1050,2.5,20,6,1,1,1,"2011-05-15",3.5,195,11,0
5,2,195,636,3.88,22,342,130,1,3,"2008-02-29",3,116,156,1
0,1,69,740,3.34,131,181,62,1,3,"2012-05-20",4.5,137,148,0
0,2,7,423,4.04,5,23,2,1,5,"2010-01-19",3.5,80,27,0
3,2,24,617,3.58,202,56,85,1,3,"2010-11-12",4,104,45,2
5,8,1180,1168,3.96,31,1434,1072,0,3,"2010-04-15",3,211,272,5
0,0,1,428,3,55,4,0,1,4,"2011-12-11",2.5,82,6,0
0,0,1,708,3.5,82,1,0,1,5,"2011-10-15",4.5,129,2,1
0,1,3,477,4.25,108,9,0,1,2,"2012-06-12",3,99,16,0
0,0,37,948,3.77,6,76,25,1,1,"2012-01-09",2.5,175,39,0
0,1,0,497,3,122,2,0,1,3,"2010-06-01",3.5,93,1,0
0,0,0,77,0,31,0,0,1,4,"2012-01-01",3.5,17,0,0
0,1,10,564,4.11,131,33,3,1,5,"2011-06-26",4.5,86,19,2
0,1,15,1175,3.58,92,32,10,1,3,"2008-05-27",4,221,38,0
2,3,761,298,3.75,4,873,653,1,4,"2008-12-23",4,54,317,4
6,8,1092,671,3.98,126,1205,1237,1,3,"2010-10-04",3,115,211,7
0,2,7,999,4.14,323,10,1,1,5,"2011-06-19",4,177,8,2
0,0,16,558,3.29,202,40,25,1,2,"2012-04-26",4,105,34,0
0,1,10,191,4,580,32,9,1,4,"2010-07-19",4.5,42,24,0
0,0,22,1076,3.85,16,94,16,1,2,"2012-06-23",3.5,197,176,0
1,1,126,454,3.12,121,251,104,1,3,"2010-01-09",3.5,83,166,1
0,2,247,578,3.47,3,371,268,0,4,"2008-07-20",4,109,156,1
1,3,4322,1316,3.34,19,5504,2672,1,3,"2011-08-28",3.5,227,620,3
0,1,51,314,4.17,140,147,27,0,2,"2011-01-14",3,63,212,0
0,2,43,46,3.07,48,58,39,1,2,"2010-10-06",3.5,9,30,1
1,1,218,1255,3.06,7,551,183,1,3,"2012-05-28",4,234,232,0
0,1,2,177,3.5,42,5,1,1,3,"2011-08-31",3,31,9,0
1,3,30,569,3.92,116,41,27,0,5,"2010-01-30",4,111,13,1
0,1,68,118,4.25,196,116,32,1,4,"2012-07-09",3,24,60,0
0,1,7,125,3.13,89,49,5,1,4,"2012-03-20",3.5,25,82,0
0,0,14,197,3.58,90,77,25,1,4,"2011-12-26",3.5,38,83,0
0,1,0,316,0,124,0,0,1,4,"2011-04-19",4,58,0,0
1,1,502,991,4.16,4,813,412,1,2,"2011-04-11",4,184,592,1
0,1,15,824,3.61,290,71,13,1,3,"2011-05-27",3.5,147,85,0
6,10,1098,2312,3.71,652,1414,738,1,5,"2008-09-18",4,413,484,10
0,0,16,1183,3.83,60,37,4,1,4,"2010-01-15",4,217,36,0
0,0,4,66,3.47,62,24,14,1,4,"2012-02-19",3.5,12,43,0
1,1,546,1256,3.79,10,1098,376,1,3,"2012-09-16",2.5,228,791,1
0,0,3,387,3.84,66,18,3,1,5,"2012-07-29",4,80,46,0
0,4,0,1095,0,9,0,0,1,5,"2012-02-26",4.5,195,0,0
0,1,33,552,3.91,160,132,36,1,3,"2012-06-23",4,113,158,1
0,1,298,473,3.81,229,454,156,1,3,"2009-01-11",3.5,82,150,2
0,3,95,1007,4.29,20,192,51,1,5,"2010-12-12",4,173,102,0
1,1,336,1173,3.45,16,564,308,1,1,"2012-07-22",3.5,212,190,1
1,1,13,548,3.67,803,59,20,1,4,"2012-06-02",4,105,135,1
0,0,0,1078,4.67,16,6,0,1,4,"2012-09-06",3.5,213,3,0
1,2,2342,743,3.9,122,3104,1890,1,4,"2008-12-08",3.5,140,479,2
0,1,169,671,3.83,57,284,158,0,5,"2011-04-04",3.5,118,187,0
0,0,0,248,5,441,0,0,1,5,"2011-05-22",4,45,1,0
0,0,62,501,4.08,20,225,40,1,4,"2011-10-31",3.5,87,265,0
0,0,2,369,1.57,5,10,3,1,1,"2011-09-30",3.5,74,7,0
0,2,72,251,4.08,81,136,43,1,5,"2007-05-19",4,44,163,0
0,0,1,357,1.87,136,8,2,1,1,"2009-06-29",3.5,72,15,0
0,0,61,597,3.52,128,233,76,1,3,"2012-04-02",3.5,114,204,0
0,0,22,591,4.06,6,43,11,1,4,"2011-11-11",3,108,18,0
1,2,43,1948,4.01,59,131,26,0,1,"2010-04-07",3,379,85,2
1,2,606,484,3.71,4,898,494,1,5,"2009-07-30",5,86,199,2
1,0,50,1756,3.77,3,125,65,1,1,"2009-04-22",3,330,59,0
0,0,29,324,3.26,90,129,43,1,4,"2011-05-19",4,64,142,0
1,1,121,1707,3.6,66,135,104,1,5,"2010-09-16",4,299,40,1
0,1,2,297,3.46,10,15,9,1,5,"2010-12-04",5,52,26,0
0,2,489,65,4.03,179,773,341,1,4,"2012-05-08",4,11,350,0
0,1,0,49,0,188,0,0,1,4,"2012-07-10",4,7,0,0
0,1,48,2113,3.43,122,101,51,1,4,"2008-07-13",3.5,397,70,1
0,0,26,2942,3.67,136,83,16,1,3,"2011-05-19",4,528,42,0
3,6,965,1379,3.59,689,1096,702,1,4,"2010-12-31",4,270,305,5
0,0,0,492,3.57,7,5,0,1,5,"2012-08-15",4.5,97,9,0
3,4,26,631,4.33,11,33,19,1,5,"2011-03-31",4.5,111,7,2
0,1,100,577,3.66,15,251,61,1,4,"2011-04-19",4.5,105,220,1
1,1,1,720,5,6,2,1,1,5,"2011-06-30",5,128,1,1
0,0,1,69,4.38,103,5,1,1,5,"2012-12-01",4,11,29,0
2,2,352,2672,3.76,307,549,299,1,4,"2012-03-19",4,474,493,2
0,1,0,440,0,214,0,0,1,4,"2012-02-21",3.5,73,0,1
0,0,1,1157,2.5,79,6,2,1,2,"2011-12-25",3,228,8,0
0,0,207,684,3.62,4,290,166,1,3,"2010-03-27",4,130,117,1
0,1,8,1715,3.5,68,28,4,1,4,"2010-05-28",3,319,18,0
0,1,0,498,3.67,162,3,2,1,2,"2011-05-20",4,87,12,0
0,0,30,88,3.36,28,116,46,1,3,"2011-10-17",3.5,19,137,0
0,0,17,175,3.55,59,41,17,1,3,"2010-10-23",3.5,33,38,0
0,2,96,651,3.57,28,240,53,1,4,"2007-08-23",3.5,111,131,0
0,1,0,735,2.6,7,5,0,1,1,"2012-09-11",3,138,5,0
0,0,0,184,5,4,0,0,1,5,"2012-07-17",3,35,1,0
0,0,1,258,5,29,11,2,1,5,"2011-12-04",5,53,12,0
1,2,674,481,3.63,27,1105,590,1,4,"2009-12-05",3.5,97,575,1
3,2,281,730,3.62,33,302,247,0,2,"2009-03-24",3.5,128,102,1
0,0,7,450,4.06,83,35,7,1,3,"2012-11-21",4,82,66,0
1,0,0,240,1,76,1,2,1,1,"2012-03-06",4,43,1,0
0,0,0,1533,1.57,4,9,1,1,1,"2012-05-15",4,294,9,0
0,1,180,3041,3.65,444,275,132,1,3,"2009-11-16",4,577,168,1
5,7,308,2260,3.84,138,438,285,1,1,"2010-10-14",3,401,81,4
0,2,31,900,3.4,12,89,94,1,2,"2010-06-14",4,169,114,0
0,2,1425,880,3.73,42,1699,1159,1,4,"2007-06-23",3,168,555,2
3,2,429,325,3.6,862,497,423,1,4,"2011-09-06",3,57,241,2
0,0,263,392,4.08,55,428,263,1,4,"2011-09-20",3,80,221,0
2,0,61,364,3.66,6,156,87,1,2,"2011-01-29",2.5,65,207,0
0,0,0,201,5,6,0,0,1,5,"2012-09-26",4.5,36,1,0
0,0,3,593,3.67,63,21,6,1,5,"2009-03-19",4,113,12,0
0,0,4,307,3.73,112,10,1,1,3,"2010-09-05",2.5,62,16,0
2,2,796,590,4.07,9,1085,589,1,4,"2007-10-17",3.5,115,352,3
0,0,12,393,4.31,55,32,2,1,5,"2009-05-10",4.5,67,35,0
0,0,54,384,3.79,652,145,64,1,4,"2011-06-11",4,75,73,1
0,0,110,547,3.6,5,208,96,1,4,"2009-09-11",2,107,122,0
0,0,3,286,4,124,5,3,1,4,"2012-10-17",3.5,54,20,0
0,0,22,259,4.05,170,37,7,1,4,"2009-03-27",3.5,47,42,0
0,1,233,456,4.14,198,310,94,1,4,"2007-12-15",3,84,156,3
11,4,596,847,3.8,180,537,609,1,5,"2009-08-18",4,153,50,7
0,3,52,492,3.82,652,81,35,1,5,"2008-08-28",4,90,71,3
1,0,0,511,0,38,0,0,1,2,"2010-07-09",3.5,100,0,1
0,1,8,282,4,7,14,0,1,5,"2012-01-04",5,43,8,1
0,1,2,125,4.26,271,8,2,1,4,"2010-06-23",4,22,20,0
0,1,436,1038,3.84,151,574,346,1,4,"2009-01-05",4,195,124,1
0,0,14,358,3.6,24,65,18,1,4,"2011-10-13",3.5,69,135,0
8,2,266,427,4.19,29,382,154,1,2,"2008-12-18",3.5,84,169,3
0,1,2,713,1,5,3,0,1,1,"2012-03-27",1,129,2,1
0,2,7,315,3.43,143,9,3,1,4,"2012-12-06",4,62,7,2
0,1,0,340,3.91,36,3,2,1,5,"2012-07-30",3.5,66,11,0
3,7,834,611,4.02,4,1118,758,1,1,"2012-05-06",1,111,350,3
2,3,1155,537,3.67,26,1453,803,1,3,"2012-10-01",3.5,94,481,2
0,7,11,1693,4,34,36,9,1,5,"2012-09-15",3.5,318,89,1
4,9,8991,744,4,117,10629,4943,0,2,"2008-10-23",3.5,144,1253,7
0,0,1076,494,3.99,18,1178,725,1,5,"2012-11-02",4.5,86,268,1
0,0,2,607,3.86,81,13,0,1,4,"2011-04-20",4.5,124,7,1
0,1,0,826,4.12,126,3,0,1,5,"2011-09-10",4,146,8,0
0,0,0,287,3.85,47,3,0,1,5,"2012-04-14",4,47,13,0
0,0,115,583,3.07,43,290,138,1,2,"2012-11-30",4,106,296,0
0,1,3,402,4.19,11,22,8,1,4,"2009-04-28",3,73,16,0
0,0,29,997,4.02,61,83,26,1,3,"2011-04-23",2.5,190,52,0
0,1,3,736,3.39,20,12,4,1,3,"2012-07-17",5,145,46,0
0,1,89,483,3.67,32,224,53,1,2,"2006-08-24",3,86,252,0
0,3,393,3723,4.04,23,575,270,1,2,"2008-03-22",3.5,704,383,2
0,1,2,141,4.56,525,13,0,1,5,"2012-08-23",4,26,9,0
0,2,87,1027,3.8,88,149,57,1,4,"2009-03-30",3.5,200,66,0
3,3,169,971,3.83,34,284,158,0,3,"2012-02-13",4,187,187,3
0,1,3,261,3.75,15,54,5,1,4,"2009-08-21",3,45,63,0
1,1,421,912,3.65,81,650,393,1,2,"2009-09-22",3,164,392,1
0,1,27,1046,3.84,44,89,25,1,2,"2012-06-30",4,208,62,0
